Field_1,carat,cut,cut_ord,color,clarity,clarity_ord,price
38,1,Premium,4,F,SI1,3,5666.2690003514
39,0.56,Ideal,5,H,VS2,5,1862.69078997708
40,1,Good,2,J,SI1,3,3436.49700453796
41,0.32,Premium,4,H,VVS1,7,442.525136313258
42,1.7,Ideal,5,D,SI1,3,12313.9620903024
43,2.26,Very Good,3,D,SI2,2,16187.2060234835
44,0.32,Premium,4,D,VS2,5,568.077862039887
45,0.4,Very Good,3,F,VVS1,7,1798.86499866373
46,2.13,Very Good,3,G,SI2,2,14533.2824702116
47,0.7,Premium,4,G,VS2,5,3446.73439798514
48,2.01,Premium,4,H,SI1,3,13975.0267794181
49,1.15,Premium,4,G,SI1,3,6799.49198508295
50,0.71,Ideal,5,E,VS1,4,4274.30482157673
51,1.35,Premium,4,G,VVS2,6,9960.15329214681
52,0.51,Ideal,5,F,SI1,3,1439.27068722529
53,0.34,Ideal,5,D,IF,8,2078.30945954884
54,1.58,Ideal,5,G,VS1,4,11713.0359689476
55,2.05,Good,2,G,SI2,2,13637.3812296121
56,0.41,Ideal,5,H,VS1,4,847.124525810751
57,0.6,Fair,1,F,SI1,3,1222.04756324474
58,0.31,Ideal,5,H,IF,8,845.487626484693
59,0.64,Very Good,3,D,SI1,3,2743.2905241924
60,0.71,Premium,4,J,SI1,3,1066.2372002621
61,0.55,Ideal,5,F,VS2,5,2441.34495055175
62,1.26,Very Good,3,G,VVS2,6,9138.10484478716
63,1.03,Premium,4,G,VS1,4,6697.12586484666
64,1.01,Premium,4,H,SI2,2,4133.92299684876
65,0.25,Very Good,3,E,VVS2,6,455.136025866509
66,0.9,Premium,4,H,SI1,3,4109.99952641618
67,0.45,Premium,4,D,VS1,4,2040.98694097314
68,0.3,Ideal,5,F,IF,8,1424.14178705936
69,0.9,Good,2,D,SI2,2,3915.41750014297
70,0.8,Very Good,3,F,VS2,5,4513.18302537201
71,0.33,Premium,4,G,VS1,4,475.9375070977
72,0.71,Ideal,5,G,SI1,3,3016.86426893891
73,0.7,Premium,4,D,SI1,3,3298.71661336281
74,0.78,Ideal,5,H,SI2,2,2217.65178802941
75,0.7,Very Good,3,F,SI2,2,2024.17220273909
76,0.38,Ideal,5,F,VVS2,6,1667.08605420749
77,0.54,Premium,4,J,VS2,5,201.954956263871
78,0.25,Good,2,E,VVS2,6,270.227740438284
79,2.5,Good,2,J,VS2,5,17414.1926997408
80,0.72,Good,2,D,VS1,4,4233.49850645617
81,0.41,Ideal,5,E,VS2,5,1290.53571290445
82,2.03,Ideal,5,G,SI2,2,13794.5561863376
83,1.24,Premium,4,D,SI1,3,8097.91906076915
84,0.92,Premium,4,G,SI2,2,3801.69539603746
85,1,Fair,1,E,SI2,2,3916.74893007581
86,0.57,Ideal,5,F,VS1,4,2936.63871612445
87,0.54,Ideal,5,D,SI1,3,2004.56424031835
88,1.08,Premium,4,H,SI2,2,4756.04183262365
89,0.54,Very Good,3,H,VVS1,7,2375.57439024244
90,0.63,Very Good,3,F,VS2,5,3002.32299563298
91,1.58,Premium,4,D,SI1,3,11119.6391202472
92,0.3,Very Good,3,D,VS2,5,368.148250455141
93,1.56,Ideal,5,G,VVS2,6,11954.3433367697
94,0.26,Very Good,3,F,VVS2,6,450.581711360436
95,0.57,Ideal,5,E,VS2,5,2712.52162324707
96,0.39,Ideal,5,F,IF,8,2224.00886162709
97,1.13,Very Good,3,G,SI2,2,5645.87053057023
98,1.09,Ideal,5,H,SI1,3,5926.44133224621
99,1.52,Ideal,5,E,SI2,2,9555.2933372376
100,1.01,Very Good,3,E,VS1,4,6790.51349337906
101,1.21,Premium,4,H,SI2,2,5911.40538477703
102,0.5,Ideal,5,H,SI1,3,682.868287857795
103,1.33,Premium,4,E,SI2,2,7738.85153140757
104,0.52,Very Good,3,D,VS2,5,2323.37887717624
105,0.33,Ideal,5,H,SI2,2,-1781.68358480921
106,1.06,Premium,4,G,SI2,2,5045.93306758726
107,0.9,Premium,4,F,SI2,2,3823.83596345929
108,0.92,Ideal,5,H,VS1,4,5379.70461502785
109,1.54,Premium,4,D,VS2,5,11410.7204284024
110,1,Premium,4,E,SI2,2,4806.00559132591
111,1.2,Ideal,5,G,VS1,4,8335.81943188387
112,1,Ideal,5,E,SI1,3,5887.53097155205
113,0.33,Very Good,3,E,SI1,3,-217.049938097758
114,0.38,Ideal,5,E,IF,8,2228.56317613316
115,0.55,Ideal,5,H,VVS2,6,2510.41780397544
116,0.31,Premium,4,J,VS2,5,-1842.14978985365
117,1.13,Ideal,5,D,VS1,4,8212.26059722745
118,0.33,Premium,4,D,SI1,3,10.3741956954955
119,1.03,Premium,4,E,VS2,5,6672.89757818393
120,0.53,Very Good,3,F,SI1,3,1467.00401592803
121,1,Good,2,F,I1,1,1888.61716171493
122,0.8,Very Good,3,F,VS1,4,4830.72855215188
123,1.25,Good,2,I,SI2,2,5584.58544523981
124,0.5,Very Good,3,E,SI1,3,1293.81009164128
125,0.56,Ideal,5,D,VS2,5,2828.89026485199
126,0.46,Ideal,5,J,VS2,5,-381.20446160927
127,2.1,Premium,4,H,SI2,2,13821.2020110579
128,0.77,Ideal,5,D,SI1,3,4048.66898643587
129,0.53,Premium,4,H,VS2,5,1468.23489448967
130,0.75,Very Good,3,F,VS1,4,4386.35795516981
131,0.41,Premium,4,F,VVS2,6,1805.87487509856
132,0.41,Ideal,5,G,VVS1,7,1837.86522193558
133,0.51,Ideal,5,D,VS2,5,2384.51966786992
134,0.34,Premium,4,G,VS2,5,247.26609971424
135,0.51,Ideal,5,E,SI2,2,579.007278199807
136,0.3,Premium,4,H,SI1,3,-1222.44763736865
137,1.5,Good,2,G,SI2,2,8749.30466280932
138,1.01,Very Good,3,F,SI2,2,4779.26990402792
139,1.1,Ideal,5,G,VS1,4,7447.07823791973
140,0.5,Good,2,D,SI1,3,1314.14456721439
141,1,Good,2,E,VVS2,6,6935.78669516932
142,1.22,Ideal,5,J,VS1,4,6690.77413929805
143,1.51,Ideal,5,H,SI2,2,8705.46250396762
144,0.31,Ideal,5,E,VVS1,7,1242.44126808858
145,0.95,Premium,4,E,SI2,2,4361.63499434384
146,1.06,Very Good,3,I,SI2,2,4080.88546213617
147,1.39,Premium,4,E,VS2,5,9872.36587645483
148,1.01,Very Good,3,H,VS2,5,5712.01125272562
149,0.72,Premium,4,D,SI1,3,3476.46485215563
150,0.51,Premium,4,D,VS1,4,2574.23165735162
151,1.5,Very Good,3,D,SI2,2,9432.77294935602
152,0.7,Premium,4,G,VVS1,7,4287.38114713341
153,1.01,Premium,4,H,SI2,2,4133.92299684876
154,0.3,Ideal,5,I,SI1,3,-1569.84085897322
155,1.29,Premium,4,F,SI1,3,8243.6184628474
156,1.01,Very Good,3,F,VS2,5,6379.5395326967
157,0.33,Ideal,5,I,VS2,5,-656.640715043171
158,1.53,Premium,4,H,SI2,2,8755.37720546227
159,0.85,Premium,4,D,SI2,2,3678.13656138104
160,0.33,Ideal,5,G,VS2,5,286.225517615997
161,0.6,Ideal,5,D,VVS1,7,4025.03349158592
162,0.63,Premium,4,I,VS1,4,2199.29485633095
163,1.04,Premium,4,G,SI2,2,4868.18482879443
164,2.01,Very Good,3,H,SI2,2,12999.1535636982
165,0.71,Premium,4,E,SI1,3,3182.34797175788
166,0.3,Very Good,3,G,VVS2,6,606.189382731437
167,1.74,Ideal,5,J,VS1,4,11312.2283479116
168,1.06,Ideal,5,E,SI1,3,6420.77568793054
169,0.7,Fair,1,G,SI1,3,1910.89995099423
170,1.52,Very Good,3,G,VS2,5,10712.2308156991
171,0.41,Ideal,5,F,VS2,5,1197.10727900196
172,1.22,Ideal,5,G,VS1,4,8513.5676706767
173,0.37,Premium,4,E,SI1,3,160.627912279815
174,0.3,Premium,4,H,SI1,3,-1222.44763736865
175,0.54,Premium,4,E,SI1,3,1671.48794201885
176,0.37,Ideal,5,E,VS2,5,935.039235318791
177,1.5,Premium,4,E,VVS2,6,11586.5823232102
178,0.62,Very Good,3,G,VS2,5,2713.56007002191
179,1.33,Premium,4,H,SI2,2,6977.894817534
180,1.51,Very Good,3,J,SI2,2,7200.29353625531
181,0.31,Ideal,5,H,VVS1,7,481.484554215014
182,0.38,Ideal,5,G,SI2,2,-869.673514070713
183,0.31,Ideal,5,I,VS1,4,-516.843427056126
184,0.34,Premium,4,G,VVS2,6,983.867233109011
185,0.75,Good,2,E,SI2,2,2377.06294819542
186,0.28,Very Good,3,F,VVS2,6,628.329950153264
187,1.23,Very Good,3,G,SI2,2,6534.61172453437
188,0.75,Good,2,E,SI1,3,3330.7547911234
189,1.11,Ideal,5,H,VVS2,6,7487.36849017461
190,2.07,Very Good,3,I,SI1,3,14010.8633641019
191,1,Premium,4,D,SI1,3,5964.94019525522
192,0.79,Ideal,5,F,SI1,3,3927.74603032488
193,0.31,Ideal,5,G,VS1,4,426.022805603042
194,0.31,Premium,4,I,VVS1,7,-121.575741985894
195,1,Ideal,5,H,SI1,3,5126.57425767849
196,0.41,Premium,4,G,VS1,4,1186.93046226901
197,0.51,Premium,4,E,SI1,3,1404.86558382961
198,1.91,Very Good,3,F,SI1,3,13731.6324926331
199,1.19,Very Good,3,E,VS2,5,8072.70211573463
200,0.32,Premium,4,F,VVS1,7,1110.05341628434
201,0.55,Ideal,5,F,SI2,2,841.075321882975
202,0.32,Ideal,5,F,IF,8,1601.89002585219
203,1.09,Ideal,5,G,SI2,2,5440.38896307467
204,0.9,Very Good,3,I,VVS1,7,5099.8159296106
205,0.74,Ideal,5,E,VS2,5,4223.3816529861
206,0.9,Very Good,3,G,VS2,5,5202.03541312149
207,0.76,Ideal,5,D,VS1,4,4923.91817956014
208,0.73,Ideal,5,D,SI2,2,2739.48066592224
209,0.52,Good,2,G,SI1,3,993.332804888739
210,0.73,Premium,4,E,SI1,3,3360.09621055071
211,0.76,Premium,4,I,VS2,5,3037.11288170445
212,0.48,Good,2,F,VS1,4,1801.84844603842
213,1.5,Fair,1,D,SI1,3,9519.38950382581
214,0.37,Very Good,3,F,SI1,3,45.0181055854105
215,0.43,Premium,4,E,VS2,5,1340.4504143991
216,0.58,Ideal,5,E,VVS2,6,3537.99687603825
217,1.01,Ideal,5,D,SI1,3,6181.6478519498
218,0.28,Ideal,5,H,VS1,4,-308.239026342629
219,0.53,Very Good,3,G,VS1,4,2231.23852223406
220,0.9,Very Good,3,I,VS2,5,4259.16918046233
221,0.3,Ideal,5,F,VVS1,7,1060.13871478968
222,1.51,Premium,4,D,SI2,2,9543.82844154435
223,1.01,Premium,4,G,SI2,2,4601.56247060519
224,0.31,Ideal,5,F,VS2,5,308.366085037822
225,0.66,Ideal,5,D,VS2,5,3717.63145881613
226,0.56,Premium,4,D,SI1,3,2054.47894181301
227,0.28,Very Good,3,E,VVS2,6,721.75838405575
228,0.55,Ideal,5,F,SI2,2,841.075321882975
229,0.29,Ideal,5,G,IF,8,1135.3788614483
230,0.36,Ideal,5,E,VS1,4,1163.71064270225
231,0.31,Ideal,5,D,SI1,3,-39.5405057991629
232,0.58,Very Good,3,G,VVS2,6,3094.66472583102
233,0.4,Premium,4,D,SI2,2,-321.198811457581
234,0.29,Ideal,5,I,VS1,4,-694.591665848952
235,0.62,Very Good,3,E,VS1,4,3324.42283691892
236,0.73,Ideal,5,E,SI2,2,2534.23790492091
237,2.01,Very Good,3,J,SI2,2,11643.999506076
238,0.7,Very Good,3,G,I1,1,-792.586940963914
239,0.54,Good,2,D,SI2,2,715.949201872069
240,0.3,Fair,1,D,VVS2,6,237.674095391729
241,0.38,Ideal,5,H,VVS1,7,1103.60338998991
242,0.7,Premium,4,G,VS1,4,3764.27992476501
243,0.82,Ideal,5,E,SI2,2,3334.10497948863
244,0.41,Ideal,5,E,VVS2,6,2027.13684629922
245,0.64,Ideal,5,G,IF,8,4245.97304032278
246,1.01,Very Good,3,H,VS1,4,6029.55677950549
247,0.58,Very Good,3,I,VS2,5,1415.19735977709
248,0.34,Ideal,5,D,VS1,4,1191.20516491076
249,0.85,Ideal,5,E,VS1,4,5518.54249312653
250,0.91,Good,2,G,SI2,2,3505.7316184209
251,0.91,Premium,4,G,SI2,2,3712.82127664105
252,0.5,Fair,1,E,VS2,5,1073.3125889239
253,1,Premium,4,F,VS2,5,6312.8467860922
254,1.5,Very Good,3,G,SI1,3,9887.90479116551
255,1.26,Ideal,5,H,VS1,4,8401.42467450592
256,0.35,Premium,4,D,SI2,2,-765.56940843965
257,1.09,Premium,4,I,VS2,5,5969.95882178611
258,0.3,Ideal,5,F,VS2,5,219.491965641409
259,0.27,Ideal,5,E,VS1,4,363.843568134526
260,0.32,Ideal,5,E,VVS2,6,1227.26977173149
261,1.09,Premium,4,I,VS1,4,6287.50434856598
262,0.4,Premium,4,F,SI1,3,333.82183656657
263,1.04,Ideal,5,E,VVS2,6,7626.20636827329
264,0.51,Premium,4,E,VS2,5,2051.44336957041
265,0.73,Ideal,5,H,SI1,3,2726.97303397531
266,1.01,Good,2,H,SI2,2,3926.83333862861
267,1.34,Ideal,5,G,VS2,5,9262.51157665379
268,0.52,Ideal,5,G,VVS2,6,2711.43491954263
269,1.21,Good,2,H,VS1,4,7622.13088200554
270,0.35,Ideal,5,F,VS1,4,981.40808940335
271,0.7,Ideal,5,G,VVS2,6,4311.16906867808
272,0.7,Premium,4,G,SI1,3,2800.15661224433
273,0.42,Very Good,3,G,SI1,3,289.499896352826
274,0.38,Premium,4,D,SI2,2,-498.947050250408
275,0.3,Ideal,5,G,VS1,4,337.148686206629
276,0.91,Premium,4,F,SI2,2,3912.7100828557
277,1.11,Premium,4,G,SI1,3,6443.9955074973
278,0.3,Good,2,G,IF,8,889.329785326397
279,0.32,Ideal,5,F,VVS1,7,1237.88695358251
280,0.42,Ideal,5,F,VS2,5,1285.98139839837
281,0.54,Ideal,5,G,VVS2,6,2889.18315833546
282,2.03,Very Good,3,I,VS2,5,14301.9446722571
283,0.4,Good,2,F,VS2,5,773.309964087233
284,0.57,Premium,4,H,VS1,4,2141.2768988552
285,0.72,Ideal,5,J,VVS1,7,2770.16939184576
286,1.3,Premium,4,I,SI1,3,7189.73754336999
287,1.01,Premium,4,E,VS2,5,6495.1493393911
288,0.39,Ideal,5,G,SI2,2,-780.799394674299
289,0.43,Ideal,5,F,VVS2,6,2111.45665118956
290,0.77,Premium,4,I,SI1,3,2479.40921536006
291,0.53,Ideal,5,F,VVS1,7,3104.2434609072
292,0.65,Very Good,3,I,IF,8,3241.96601696994
293,0.33,Premium,4,D,SI2,2,-943.317647232477
294,1.02,Premium,4,F,SI2,2,4890.32539621625
295,0.31,Premium,4,G,VVS1,7,821.290490673274
296,0.36,Ideal,5,F,SI1,3,106.158896279085
297,0.3,Very Good,3,H,VVS1,7,242.595524728512
298,0.9,Very Good,3,H,SI2,2,3134.12631069629
299,1.05,Ideal,5,G,SI1,3,6038.58432841698
300,1.5,Good,2,D,SI2,2,9247.86466392779
301,0.9,Very Good,3,H,VS1,4,5051.94146614494
302,0.72,Very Good,3,E,SI1,3,3249.04071836238
303,0.42,Premium,4,G,VS2,5,958.259054885551
304,0.53,Premium,4,I,VVS1,7,1833.65488473521
305,0.51,Very Good,3,F,SI1,3,1289.2557771352
306,0.51,Ideal,5,H,VS2,5,1418.32019299502
307,0.86,Premium,4,F,SI2,2,3468.33948587363
308,1.51,Premium,4,H,SI1,3,9531.32080959742
309,0.37,Ideal,5,F,VS1,4,1159.15632819618
310,0.56,Premium,4,D,SI1,3,2054.47894181301
311,1.59,Premium,4,I,VS2,5,10413.6647916068
312,0.73,Ideal,5,H,SI1,3,2726.97303397531
313,0.31,Ideal,5,F,IF,8,1513.01590645578
314,0.4,Very Good,3,F,SI1,3,311.640463774652
315,0.52,Ideal,5,F,VS2,5,2174.72259236251
316,1.04,Premium,4,H,SI1,3,5354.23719796597
317,1,Ideal,5,J,VS1,4,4735.54351257695
318,0.78,Ideal,5,F,SI1,3,3838.87191092846
319,0.76,Ideal,5,J,SI1,3,1638.44133454234
320,0.71,Premium,4,E,VS2,5,3828.92575749869
321,0.9,Ideal,5,G,SI2,2,3751.7806945428
322,1.01,Very Good,3,E,SI2,2,4872.69833793041
323,0.81,Very Good,3,G,SI2,2,2801.89870988499
324,0.36,Ideal,5,F,VVS2,6,1489.33781541466
325,0.61,Ideal,5,I,SI2,2,231.564999387637
326,0.51,Ideal,5,E,VS2,5,2179.27690686858
327,0.24,Ideal,5,E,VVS2,6,516.276816560184
328,0.52,Ideal,5,H,IF,8,2711.84413380938
329,1,Premium,4,H,SI2,2,4045.04887745234
330,0.31,Ideal,5,H,VVS2,6,377.43893846151
331,1.08,Premium,4,H,VS1,4,6673.8569880723
332,0.7,Good,2,D,VS2,5,3738.20474088347
333,0.3,Very Good,3,F,VVS1,7,910.123804699596
334,0.3,Ideal,5,H,SI1,3,-1094.61410007048
335,0.7,Very Good,3,G,VS2,5,3424.55302519322
336,0.72,Ideal,5,E,SI2,2,2445.3637855245
337,0.3,Ideal,5,H,VVS1,7,392.610434818601
338,0.76,Premium,4,F,SI1,3,3533.29013483747
339,0.41,Very Good,3,D,SI1,3,699.185778074887
340,0.41,Premium,4,E,SI1,3,516.12438986547
341,0.4,Very Good,3,D,SI2,2,-343.380184249499
342,1.54,Good,2,E,SI1,3,10351.8102234401
343,0.55,Ideal,5,E,VVS2,6,3271.37451784901
344,0.57,Ideal,5,H,SI1,3,1304.98712363269
345,0.53,Ideal,5,E,VS2,5,2357.02514566141
346,0.33,Very Good,3,E,VS2,5,429.527847643048
347,1.53,Premium,4,D,SI2,2,9721.57668033718
348,0.52,Ideal,5,H,SI1,3,860.616526650623
349,1.01,Very Good,3,F,VVS1,7,7220.18628184498
350,0.91,Very Good,3,D,SI1,3,5142.89174789558
351,0.54,Premium,4,F,VS2,5,2224.63729385717
352,0.53,Premium,4,H,SI1,3,821.657108748867
353,1.02,Premium,4,G,VS2,5,6290.70621867038
354,0.3,Premium,4,H,VS1,4,-258.324324847971
355,2.05,Ideal,5,H,SI2,2,13504.664951374
356,0.3,Premium,4,D,VS2,5,390.32962324706
357,0.3,Premium,4,H,VS1,4,-258.324324847971
358,0.9,Very Good,3,J,VS1,4,3696.78740852272
359,2.25,Ideal,5,I,SI2,2,14806.9205803995
360,0.42,Ideal,5,G,VVS1,7,1926.739341332
361,0.7,Good,2,F,SI2,2,1839.26391731087
362,1.2,Very Good,3,I,SI1,3,6278.81497661393
363,1.52,Premium,4,G,SI1,3,10087.8344027503
364,0.33,Ideal,5,G,VVS1,7,1126.87226676427
365,1.21,Premium,4,J,VVS2,6,6893.12208921837
366,0.23,Very Good,3,E,VVS2,6,277.387787073681
367,0.31,Ideal,5,H,VVS2,6,377.43893846151
368,0.5,Ideal,5,F,SI1,3,1350.39656782888
369,1.01,Very Good,3,H,SI1,3,5065.43346698481
370,0.76,Ideal,5,H,VS2,5,3640.17317790536
371,0.31,Premium,4,E,VVS2,6,1010.56211503691
372,1.77,Ideal,5,D,SI2,2,11982.3890831493
373,0.4,Very Good,3,G,SI1,3,111.751657559998
374,0.51,Very Good,3,G,VS2,5,1735.94475666136
375,0.54,Ideal,5,F,VVS1,7,3193.11758030361
376,0.3,Ideal,5,F,SI1,3,-427.085820099398
377,1.06,Ideal,5,I,SI2,2,4230.90037222626
378,0.81,Ideal,5,F,VS1,4,5069.61758163839
379,0.58,Ideal,5,D,SI1,3,2360.06071790401
380,0.53,Good,2,H,SI1,3,614.567450528723
381,0.3,Very Good,3,E,SI1,3,-483.672296287
382,1.09,Premium,4,F,SI1,3,6466.13607491912
383,1.17,Ideal,5,I,SI2,2,5208.51568558681
384,1.53,Ideal,5,I,VS2,5,10008.2536125265
385,1.03,Good,2,E,SI2,2,4865.53829129501
386,0.35,Premium,4,I,SI1,3,-1253.30379928932
387,1,Very Good,3,D,VS2,5,6589.33660820411
388,2.01,Premium,4,G,SI2,2,13488.9744102466
389,0.32,Premium,4,G,VS1,4,387.063387701286
390,1.01,Ideal,5,F,SI2,2,4929.28481411801
391,0.4,Very Good,3,D,VS2,5,1256.88944441928
392,1.12,Premium,4,D,SI2,2,6077.73778508421
393,1.24,Very Good,3,H,VVS2,6,8492.7171322379
394,0.52,Ideal,5,E,VS2,5,2268.151026265
395,0.82,Very Good,3,F,VVS2,6,5427.53239755961
396,1.05,Good,2,G,SI2,2,4749.9692899707
397,1,Very Good,3,F,VS2,5,6290.66541330028
398,0.81,Very Good,3,J,SI1,3,1932.79702143432
399,1.02,Very Good,3,E,VS1,4,6879.38761277547
400,0.75,Fair,1,J,VS1,4,1496.60032911833
401,0.4,Very Good,3,D,SI2,2,-343.380184249499
402,2.04,Premium,4,F,SI2,2,13955.4855746505
403,0.52,Ideal,5,E,VS2,5,2268.151026265
404,0.8,Very Good,3,F,VS2,5,4513.18302537201
405,1.01,Very Good,3,F,VS1,4,6697.08505947657
406,0.43,Premium,4,E,SI1,3,693.872628658298
407,1.13,Premium,4,G,VVS1,7,8108.9682811792
408,0.4,Ideal,5,F,IF,8,2312.8829810235
409,1.05,Premium,4,G,VS1,4,6874.87410363949
410,0.41,Good,2,E,VS2,5,955.612517386133
411,1.01,Ideal,5,G,VS2,5,6329.66563657213
412,0.7,Fair,1,G,SI1,3,1910.89995099423
413,0.55,Ideal,5,G,VVS1,7,3082.10289348538
414,0.53,Ideal,5,E,VS2,5,2357.02514566141
415,1.16,Ideal,5,F,VS2,5,7862.66623373299
416,0.3,Ideal,5,F,VS1,4,537.037492421282
417,0.7,Ideal,5,F,VS2,5,3774.45674149796
418,0.33,Very Good,3,F,VVS2,6,1072.70054713533
419,0.71,Premium,4,E,VS2,5,3828.92575749869
420,0.71,Premium,4,E,VS1,4,4146.47128427856
421,0.33,Ideal,5,G,IF,8,1490.87533903395
422,1.58,Ideal,5,I,SI1,3,9806.04642376775
423,1.63,Premium,4,I,VS1,4,11086.7067959723
424,0.38,Ideal,5,E,IF,8,2228.56317613316
425,1.29,Premium,4,I,VS1,4,8064.98673649426
426,1.1,Very Good,3,I,SI2,2,4436.38193972182
427,1.73,Premium,4,F,SI2,2,11200.3878733616
428,1.01,Fair,1,F,SI1,3,4865.88645849771
429,0.41,Very Good,3,E,SI2,2,-459.74882585442
430,0.9,Premium,4,I,VS2,5,4281.35055325424
431,0.3,Ideal,5,I,VS1,4,-605.717546452539
432,0.27,Ideal,5,E,VS1,4,363.843568134526
433,0.28,Very Good,3,H,SI1,3,-1422.3772489534
434,1.17,Ideal,5,H,VS2,5,7284.01207315832
435,1.02,Premium,4,E,SI1,3,5937.44567304671
436,0.34,Ideal,5,E,VVS1,7,1509.06362627783
437,0.45,Good,2,F,VS1,4,1535.22608784918
438,0.75,Ideal,5,G,SI2,2,2418.6689035966
439,0.31,Ideal,5,F,VVS2,6,1044.96721843259
440,0.38,Ideal,5,D,VVS2,6,1965.75724911131
441,0.39,Premium,4,G,VS2,5,691.636696696309
442,0.54,Ideal,5,G,SI1,3,1506.00423919988
443,0.7,Premium,4,D,SI1,3,3298.71661336281
444,0.31,Ideal,5,E,IF,8,1606.44434035826
445,1.21,Ideal,5,F,VS2,5,8307.03683071506
446,0.33,Premium,4,G,VS1,4,475.9375070977
447,1.11,Very Good,3,J,VS1,4,5563.14391584741
448,0.31,Ideal,5,F,VS2,5,308.366085037822
449,0.32,Very Good,3,F,VS2,5,247.225294344148
450,0.28,Very Good,3,E,VVS2,6,721.75838405575
451,2.17,Very Good,3,H,SI2,2,14421.1394740408
452,0.35,Good,2,H,VS2,5,-338.58891286592
453,0.57,Ideal,5,F,VVS1,7,3459.73993849286
454,1.02,Ideal,5,I,SI1,3,4829.09573756858
455,0.77,Ideal,5,J,VS2,5,2373.89323967956
456,0.55,Ideal,5,F,SI2,2,841.075321882975
457,0.91,Premium,4,G,SI1,3,4666.51311956902
458,1.01,Very Good,3,G,VS2,5,6179.65072648205
459,0.33,Ideal,5,G,VVS2,6,1022.82665101077
460,0.9,Good,2,H,VS2,5,4549.48765393684
461,0.31,Premium,4,G,VS2,5,-19.3562584750016
462,0.3,Ideal,5,D,VS1,4,835.708687325103
463,0.39,Ideal,5,H,SI2,2,-1248.43886843073
464,0.63,Very Good,3,G,VS1,4,3119.9797161982
465,0.71,Ideal,5,F,SI1,3,3216.75307515357
466,1.02,Ideal,5,G,VS2,5,6418.53975596855
467,0.56,Very Good,3,J,VS2,5,357.521822264781
468,0.53,Ideal,5,E,VS1,4,2674.57067244129
469,0.92,Good,2,D,SI2,2,4093.16573893579
470,0.3,Ideal,5,G,VS1,4,337.148686206629
471,0.52,Very Good,3,F,VVS2,6,2761.30881566719
472,0.36,Ideal,5,E,VS1,4,1163.71064270225
473,2.02,Ideal,5,F,SI2,2,13905.5708731558
474,0.54,Ideal,5,D,VS2,5,2651.14202605916
475,0.76,Very Good,3,J,VS1,4,2452.54973697293
476,1.21,Very Good,3,F,VS2,5,8157.02192062497
477,0.3,Premium,4,F,VS2,5,91.6584283432385
478,0.9,Very Good,3,E,SI1,3,4848.77486749783
479,0.36,Ideal,5,D,SI2,2,-548.861751745066
480,0.71,Ideal,5,I,SI1,3,2073.99803627975
481,1.09,Ideal,5,E,VS2,5,7333.97583186058
482,0.31,Ideal,5,D,VVS2,6,1343.63841333641
483,0.3,Very Good,3,G,VS1,4,187.13377611654
484,0.4,Ideal,5,I,VS2,5,-34.5218792682745
485,0.3,Ideal,5,E,VVS2,6,1049.52153293867
486,1.7,Premium,4,F,VS2,5,12534.0351438412
487,0.43,Very Good,3,E,SI1,3,671.691255866379
488,0.53,Ideal,5,F,VVS2,6,3000.1978451537
489,0.41,Ideal,5,G,VS1,4,1314.76399956718
